,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
0,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.4998,0.5325941453593113,0.7593798706604349,0.492746458746346,0.4927464587463487,False
1,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.4998,0.5332611774049738,0.7610815007737322,0.49418140531118226,0.4941814053111816,False
2,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.4998,0.5032769779354374,0.6930865565149029,0.4931536336270953,0.4931536336270956,False
3,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.5002,0.5037338387802356,0.6940345657935563,0.49321405735332163,0.49321405735332147,False
4,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.4998,0.5317238501524476,0.7572082752820778,0.4924744031970303,0.49247440319702973,False
5,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.5002,0.5054359560523987,0.6976157365368468,0.49513997421226164,0.495139974212261,False
6,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.5002,0.5338657082149236,0.7626280236313726,0.4937688484612899,0.4937688484612897,False
7,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.4998,0.503092464626706,0.6926950059852007,0.4928530647392315,0.4928530647392316,False
8,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.7964,0.4934502554871017,0.6734465484407831,0.49310158603262116,0.49310158603261933,False
9,TwoMoons,prob_label,10000,NONE,2,0.01,10,0.5002,0.5795618329931661,0.8993927415183757,0.4950241928604497,0.49502419286045185,False
10,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.4998,0.49513081290158356,0.676727197195822,0.4932095675428197,0.49320956754282336,False
11,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.4998,0.4953241881786289,0.6771133359664876,0.49342401496824223,0.4934240149682437,False
12,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5002,0.5024235341729821,0.6913582008421663,0.4938082989041118,0.4938082989041145,False
13,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5002,0.49413387888362825,0.6747849269556325,0.4933793231300382,0.49337932313003696,False
14,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5029,0.49389521465651465,0.6743229532454523,0.4934678129832509,0.49346781298325065,False
15,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5002,0.4954240078785108,0.6773105300216788,0.49344521170481476,0.49344521170481603,False
16,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.4998,0.49485392603164724,0.6761982551573122,0.4936324690883356,0.4936324690883342,False
17,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5002,0.4957483968833333,0.6779595381319472,0.4938384702403582,0.49383847024035893,False
18,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.4998,0.49721816540936137,0.6808451025010345,0.4932599927341804,0.4932599927341796,False
19,TwoMoons,prob_label,10000,NONE,2,0.01,100,0.5073,0.493473879042464,0.6734899278579363,0.4930273499458907,0.4930273499458919,False
20,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.5002,0.494061096519674,0.6746444650696559,0.4934212399965193,0.4934212399965184,False
21,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.5002,0.4948689987633341,0.6762257700250612,0.4935529117310226,0.4935529117310248,False
22,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.4998,0.4942995343816192,0.675111740735934,0.49351184340008203,0.49351184340008286,False
23,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.4998,0.4940672524184025,0.6746542260657278,0.4933566294828369,0.4933566294828373,False
24,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.5055,0.49387695019372735,0.674286925673965,0.4934518334984052,0.49345183349841,False
25,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.8016,0.4937256406603413,0.6739900527412341,0.4933678680273601,0.4933678680273625,False
26,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.792,0.4935502323184915,0.6736434139927313,0.493185216967844,0.49318521696784373,False
27,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.5002,0.49389897605065325,0.674325881727117,0.49332644258922176,0.4933264425892181,False
28,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.6604,0.4937652948671453,0.6740671401356407,0.4933692899291363,0.4933692899291354,False
29,TwoMoons,prob_label,10000,NONE,2,0.01,1000,0.4999,0.4936857149269228,0.6739081613530505,0.4932355160254833,0.49323551602548393,False
30,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.5002,0.4752307100527572,0.6358715684732597,0.463286039149357,0.463286039149354,False
31,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.7719,0.4589860351942067,0.6072458063307419,0.4569659162801667,0.45696591628016575,False
32,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.7806,0.45501874204959825,0.599801732966059,0.4525640388604913,0.4525640388604929,False
33,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.5029,0.4670427853223881,0.6205391407024743,0.4574743184927187,0.4574743184927174,False
34,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.4998,0.47983712091557457,0.6452316895632797,0.46900676490952,0.4690067649095208,False
