,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
0,CIFAR10,prob_label_effnetb0,50000,CLIP,512,1,500,0.855,0.20511809288848437
1,CIFAR10,prob_label_effnetb0,50000,UMAP,512,1,500,0.23562,0.28530694124379863
2,CIFAR10,prob_label_effnetb0,50000,UMAP,100,1,500,0.25712,0.2842591149003029
3,CIFAR10,prob_label_effnetb0,50000,UMAP,50,1,500,0.24706,0.2848535483189413
4,CIFAR10,prob_label_effnetb0,50000,UMAP,40,1,500,0.23228,0.28539079708461834
5,CIFAR10,prob_label_effnetb0,50000,UMAP,30,1,500,0.2514,0.28446901429374344
6,CIFAR10,prob_label_effnetb0,50000,UMAP,25,1,500,0.26202,0.28452985222579946
7,CIFAR10,prob_label_effnetb0,50000,UMAP,20,1,500,0.24738,0.28509981536576934
8,CIFAR10,prob_label_effnetb0,50000,UMAP,15,1,500,0.24894,0.28519256910310864
9,CIFAR10,prob_label_effnetb0,50000,UMAP,10,1,500,0.25572,0.28487417189912817
10,CIFAR10,prob_label_effnetb0,50000,UMAP,7,1,500,0.24804,0.28543924270497106
11,CIFAR10,prob_label_effnetb0,50000,UMAP,5,1,500,0.25352,0.28654209972598627
12,CIFAR10,prob_label_effnetb0,50000,UMAP,3,1,500,0.24332,0.2861932273020468
13,CIFAR10,prob_label_effnetb0,50000,UMAP,2,1,500,0.21366,0.28834392705856665
14,CIFAR10,prob_label_effnetb0,50000,PCA,512,1,500,0.10882,0.2929157060300151
15,CIFAR10,prob_label_effnetb0,50000,PCA,100,1,500,0.10872,0.2929209632480253
16,CIFAR10,prob_label_effnetb0,50000,PCA,50,1,500,0.1086,0.29296351605830806
17,CIFAR10,prob_label_effnetb0,50000,PCA,40,1,500,0.10864,0.29295066227764555
18,CIFAR10,prob_label_effnetb0,50000,PCA,30,1,500,0.10872,0.2929335282123668
19,CIFAR10,prob_label_effnetb0,50000,PCA,25,1,500,0.10864,0.2929518430197581
20,CIFAR10,prob_label_effnetb0,50000,PCA,20,1,500,0.1088,0.2929215999987304
21,CIFAR10,prob_label_effnetb0,50000,PCA,15,1,500,0.10854,0.29292801963840354
22,CIFAR10,prob_label_effnetb0,50000,PCA,10,1,500,0.10876,0.2929246551672666
23,CIFAR10,prob_label_effnetb0,50000,PCA,7,1,500,0.10874,0.29294114595101545
24,CIFAR10,prob_label_effnetb0,50000,PCA,5,1,500,0.10892,0.29293663958431154
25,CIFAR10,prob_label_effnetb0,50000,PCA,3,1,500,0.10854,0.29295848103981037
26,CIFAR10,prob_label_effnetb0,50000,PCA,2,1,500,0.10936,0.2930508263588079
27,CIFAR10,prob_label_effnetb0,50000,ISOMAP,512,1,500,0.1089,0.29292240517375406
28,CIFAR10,prob_label_effnetb0,50000,ISOMAP,100,1,500,0.10872,0.2929356645033136
29,CIFAR10,prob_label_effnetb0,50000,ISOMAP,50,1,500,0.10878,0.29292352170597213
30,CIFAR10,prob_label_effnetb0,50000,ISOMAP,40,1,500,0.1087,0.29291053841584935
31,CIFAR10,prob_label_effnetb0,50000,ISOMAP,30,1,500,0.10904,0.29294342646344906
32,CIFAR10,prob_label_effnetb0,50000,ISOMAP,25,1,500,0.10906,0.2929200928166262
33,CIFAR10,prob_label_effnetb0,50000,ISOMAP,20,1,500,0.10874,0.29295171668080167
34,CIFAR10,prob_label_effnetb0,50000,ISOMAP,15,1,500,0.10872,0.2929514804698456
35,CIFAR10,prob_label_effnetb0,50000,ISOMAP,10,1,500,0.10868,0.2929117865715428
36,CIFAR10,prob_label_effnetb0,50000,ISOMAP,7,1,500,0.10868,0.2929406830738953
37,CIFAR10,prob_label_effnetb0,50000,ISOMAP,5,1,500,0.10882,0.2929086999017333
38,CIFAR10,prob_label_effnetb0,50000,ISOMAP,3,1,500,0.10848,0.2929830646916487
39,CIFAR10,prob_label_effnetb0,50000,ISOMAP,2,1,500,0.10878,0.2929959218651542
40,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,512,1,500,0.8933,0.11587402410011598
41,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,100,1,500,0.89102,0.11682130233311158
42,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,50,1,500,0.8957,0.1160050061328842
43,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,40,1,500,0.89294,0.11595918937817959
44,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,30,1,500,0.89386,0.1164610075538344
45,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,25,1,500,0.894,0.11535453636793355
46,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1,500,0.89798,0.11434877735128916
47,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,15,1,500,0.89636,0.11562088404573508
48,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,10,1,500,0.8918,0.11637488315989315
49,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,7,1,500,0.89296,0.1152772942803352
50,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,5,1,500,0.89256,0.11629217987517929
51,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,3,1,500,0.89378,0.11602455157275493
52,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,2,1,500,0.89366,0.11615522358881045
53,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,512,1,500,0.83986,0.2091181514375692
54,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,100,1,500,0.85176,0.1467227872190798
55,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,50,1,500,0.85568,0.13991226471848986
56,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,40,1,500,0.85392,0.1376642568683322
57,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,30,1,500,0.84808,0.13823688537858075
