,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
0,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10,0.10248,0.31009289329482687
1,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10,0.19466,0.31678920383311837
2,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10,0.20062,0.30082221942075166
3,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10,0.1002,0.2975934448851839
4,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10,0.1,0.3245077309041274
5,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,25,0.10086,0.3057386651607842
6,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,25,0.37536,0.3009155645066311
7,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,25,0.09552,0.29842406882003025
8,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,25,0.2001,0.2971089500252905
9,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,25,0.10042,0.30190742124932374
10,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,50,0.10086,0.2976099700425932
11,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,50,0.10086,0.29645566853170713
12,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,50,0.09952,0.2966465777966524
13,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,50,0.09552,0.30087536600885256
14,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,50,0.09902,0.295867065899959
15,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100,0.10248,0.29577865890714616
16,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100,0.1,0.29463522530513386
17,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100,0.09902,0.29677678182203643
18,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100,0.09952,0.29553168315047385
19,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100,0.19548,0.29477921494251436
20,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,250,0.09552,0.2949173185422088
21,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,250,0.10086,0.29478722180367495
22,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,250,0.10048,0.2950849043284164
23,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,250,0.19548,0.29477076633164423
24,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,250,0.19794,0.2948728467643084
25,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,500,0.10042,0.2944641477314823
26,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,500,0.10042,0.29458002366584535
27,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,500,0.10086,0.29457418249548467
28,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,500,0.10248,0.2945287420944687
29,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,500,0.19266,0.2946055709240066
30,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,1000,0.10248,0.29452592410067774
31,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,1000,0.1,0.29443309947958896
32,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,1000,0.09902,0.2945166053884896
33,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,1000,0.1015,0.2944874949120888
34,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,1000,0.10248,0.2944586363112142
35,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,5000,0.09952,0.2943765117698229
36,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,5000,0.1,0.2943740433807892
37,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,5000,0.10248,0.2943479089190563
38,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,5000,0.1002,0.2943716507538875
39,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,5000,0.1,0.29439319574327455
40,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10000,0.1015,0.29435300244723217
41,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10000,0.10248,0.29435143573635447
42,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10000,0.10248,0.29436000432604903
43,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10000,0.1002,0.2943528365534629
44,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,10000,0.10042,0.2943576363480109
45,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.1002,0.2943430552477032
46,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.2943426432416804
47,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.2943427232335564
48,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.2943424405557627
49,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.29434283543765083
50,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.10042,0.3101445974644127
51,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.1,0.31523390825760733
52,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.36706,0.30763981906530785
53,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.29148,0.3044362357185878
54,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.1985,0.3008527910310238
55,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10042,0.29750572619472687
56,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10248,0.30007044544588
57,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.09952,0.30175648439903346
58,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.18958,0.3005881411482865
59,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10042,0.3043229690749451
60,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.1,0.2954414319534035
61,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.10086,0.29766266375344236
62,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.19072,0.2958725984223627
