,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
0,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10,0.2823,0.2972630252133729,9.612666769441343,0.17513174793579253,0.8547326313970461,False
1,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10,0.0999,0.30031979754282584,9.680172577921478,0.17549235077558595,0.8545968454526581,False
2,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10,0.1015,0.2997815541538772,9.47675188454676,0.1744608119232577,0.8543833262572762,False
3,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10,0.3769,0.3002862589202685,11.76207781952707,0.17524212638720554,0.8544326528903654,False
4,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10,0.2804,0.2975194272590744,9.540591280007554,0.17482910801708798,0.8549883677038681,False
5,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,25,0.0999,0.29014601719764577,4.793776665754849,0.17402357235254323,0.8545165445310852,False
6,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,25,0.1975,0.29642901056970805,7.2002545385244945,0.17421209651839248,0.854409297343217,False
7,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,25,0.0999,0.2953127947329488,2.3963925077553103,0.17396349175319661,0.8544063736932892,False
8,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,25,0.1003,0.2953242422241401,7.412598346252975,0.17477254123605088,0.8547603075960278,False
9,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,25,0.191,0.290225116657073,2.2548507799244066,0.17352968203783772,0.8545642919840789,False
10,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,50,0.0999,0.29246074929013266,4.832378762870436,0.17359792627664716,0.8546939298695883,False
11,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,50,0.1005,0.28813682155939724,2.177580821677776,0.17320086802965132,0.8543814095631971,False
