,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
0,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.855,0.3866911318971722,inf,0.31158812529591506,0.31158812529590413
1,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7461,0.4073208684962236,inf,0.3128590820079196,0.31285908200792
2,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7827,0.424322535537059,inf,0.2727708423937768,0.2727708423937836
3,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7925,0.4212273689781487,inf,0.32356208599757813,0.3235620859975645
4,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7411,0.39284905687329513,inf,0.3394912537692649,0.3394912537692793
5,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7631,0.42968038219866134,inf,0.3336152526937064,0.33361525269368814
6,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.8334,0.3977371526221489,inf,0.25049259307278987,0.2504925930727916
7,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.8025,0.368667473855436,,0.29324358086316443,0.29324358086318025
8,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.9091,0.4024264123730884,0.5029348616149593,0.3921254011276942,0.3921254011276631
9,TwoMoons,prob_label,10000,NONE,2,euclidean,5,10,0.7771,0.3925906860415605,,0.3184130599239749,0.31841305992397345
10,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9991,0.032009770192764006,,0.004615910332586086,0.0046159103325860845
11,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9964,0.049491046934330554,,0.007321420439171081,0.007321420439171072
12,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9996,0.016582328709869615,,0.002673721793751631,0.002673721793751632
13,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9956,0.0527700985401924,,0.008017176164834708,0.008017176164834694
14,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9986,0.026206432759154772,,0.003314628648892753,0.003314628648892756
15,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9985,0.044920149037790555,,0.009960009011925106,0.009960009011925043
16,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9987,0.03175439972584639,,0.004722735639821213,0.004722735639821207
17,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9972,0.04037704796713927,,0.006130591809685751,0.0061305918096857415
18,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9958,0.05977424397109725,,0.011755056859349347,0.011755056859349302
19,TwoMoons,prob_label,10000,NONE,2,euclidean,5,100,0.9954,0.05707836577327186,,0.008037622210557052,0.00803762221055704
20,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9992,0.023127404229330274,,0.0036747616951770747,0.003674761695177073
21,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9994,0.02122192610522338,,0.003216751355774523,0.003216751355774524
22,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9998,0.025694253559131956,,0.004272006374574935,0.004272006374574933
23,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9994,0.034908005100817874,,0.0076561151253516585,0.00765611512535163
24,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9995,0.025648834941638665,,0.004715056369409319,0.00471505636940932
25,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9995,0.02734855538129028,,0.0049302605888691085,0.004930260588869099
26,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9998,0.020294090954910367,,0.0033312263268587116,0.0033312263268587138
27,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9995,0.027257595404087134,,0.004603810489796815,0.004603810489796812
28,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9995,0.015500839702256866,,0.0024209631193801776,0.002420963119380177
29,TwoMoons,prob_label,10000,NONE,2,euclidean,5,1000,0.9994,0.018462688281365016,,0.0027066418584666793,0.0027066418584666798
30,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.4998,0.5077365521642168,0.7024657904911582,0.4975149227920481,0.4975149227920441
31,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.4998,0.5077365521642156,0.7024657904911582,0.49751492279204684,0.497514922792044
32,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.5002,0.5363553864118727,0.7689823835091154,0.49740364380988833,0.49740364380988156
33,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.5002,0.5363553864118724,0.7689823835091153,0.4974036438098888,0.49740364380988156
34,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.4998,0.5365036579811292,0.7693193422053528,0.49767859702499545,0.49767859702500383
35,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.5002,0.5076582208105709,0.7023045425987872,0.49738608208092255,0.49738608208092727
36,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.4998,0.4977515823983702,0.6819741692848451,0.4974087667265801,0.4974087667265801
37,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.4998,0.5077365521642172,0.7024657904911582,0.4975149227920447,0.4975149227920441
38,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.5002,0.5076582208105721,0.7023045425987872,0.4973860820809254,0.49738608208092727
39,TwoMoons,prob_label,10000,NONE,2,euclidean,10,10,0.5002,0.5076582208105709,0.7023045425987872,0.49738608208092516,0.49738608208092727
40,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9929,0.08088086312413562,,0.020577571029501366,0.02057757102950144
41,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9972,0.13060764881115805,,0.05836555751710782,0.05836555751710662
42,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9906,0.07786858439727119,,0.025218603287656332,0.025218603287656762
43,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9981,0.05057878175249877,,0.012514741364329614,0.012514741364329698
44,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9897,0.10697967100638817,,0.03358861106940335,0.033588611069403286
45,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9968,0.06447212200452465,,0.016368695204223113,0.016368695204223207
46,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9925,0.08019354357640343,,0.024285517356741188,0.024285517356741643
47,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.998,0.0572085468357744,,0.017092226331384002,0.017092226331384252
48,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9807,0.12096924639611115,,0.035937483415805556,0.0359374834158052
49,TwoMoons,prob_label,10000,NONE,2,euclidean,10,100,0.9983,0.04762161484056501,,0.011262190630549593,0.011262190630549616
50,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9992,0.01865046611501127,,0.0031229712599532096,0.003122971259953205
51,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9989,0.022186126414465414,,0.004060057619379231,0.004060057619379217
52,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9993,0.017426516575601004,,0.0031530456424413472,0.0031530456424413407
53,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9995,0.021480102404839836,,0.004736987104833717,0.004736987104833694
54,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9996,0.014050251455493285,,0.002335851967074373,0.0023358519670743745
55,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9992,0.018018866860832553,,0.002945950077089396,0.0029459500770893945
56,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9993,0.017609985200207366,,0.002858052564873422,0.002858052564873421
57,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9995,0.017589938103265645,,0.0035743593526327538,0.0035743593526327473
58,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9994,0.01729816818634977,,0.0031548863440886673,0.0031548863440886694
59,TwoMoons,prob_label,10000,NONE,2,euclidean,10,1000,0.9994,0.014161005223503465,,0.0023430532850710955,0.0023430532850710947
60,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
61,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
62,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
63,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
64,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
65,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
66,TwoMoons,prob_label,10000,NONE,2,euclidean,20,10,,,,,
