,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
0,CIFAR10,prob_label_effnetb0,50000,CLIP,512,euclidean,20,500,0.8813,0.1293487706356527
1,CIFAR10,prob_label_effnetb0,50000,UMAP,512,euclidean,20,500,0.23368,0.2886532278621751
2,CIFAR10,prob_label_effnetb0,50000,UMAP,100,euclidean,20,500,0.23022,0.28925965281061117
3,CIFAR10,prob_label_effnetb0,50000,UMAP,50,euclidean,20,500,0.2352,0.2887621561871167
4,CIFAR10,prob_label_effnetb0,50000,UMAP,40,euclidean,20,500,0.2246,0.2899058907502287
5,CIFAR10,prob_label_effnetb0,50000,UMAP,30,euclidean,20,500,0.23086,0.28916061922273995
6,CIFAR10,prob_label_effnetb0,50000,UMAP,25,euclidean,20,500,0.22728,0.2886017323628679
7,CIFAR10,prob_label_effnetb0,50000,UMAP,20,euclidean,20,500,0.23712,0.2888838911476239
8,CIFAR10,prob_label_effnetb0,50000,UMAP,15,euclidean,20,500,0.24262,0.2881026116184786
9,CIFAR10,prob_label_effnetb0,50000,UMAP,10,euclidean,20,500,0.24268,0.2877636721639555
10,CIFAR10,prob_label_effnetb0,50000,UMAP,7,euclidean,20,500,0.23222,0.2893671347604677
11,CIFAR10,prob_label_effnetb0,50000,UMAP,5,euclidean,20,500,0.22184,0.28915282663901587
12,CIFAR10,prob_label_effnetb0,50000,UMAP,3,euclidean,20,500,0.2281,0.2894865607089827
13,CIFAR10,prob_label_effnetb0,50000,UMAP,2,euclidean,20,500,0.19734,0.29225121897431183
14,CIFAR10,prob_label_effnetb0,50000,PCA,512,euclidean,20,500,0.21258,0.2904403536740377
15,CIFAR10,prob_label_effnetb0,50000,PCA,100,euclidean,20,500,0.22544,0.2880292202888301
16,CIFAR10,prob_label_effnetb0,50000,PCA,50,euclidean,20,500,0.24256,0.2891106320365707
17,CIFAR10,prob_label_effnetb0,50000,PCA,40,euclidean,20,500,0.23822,0.28952856262282
18,CIFAR10,prob_label_effnetb0,50000,PCA,30,euclidean,20,500,0.26486,0.28530683499698617
19,CIFAR10,prob_label_effnetb0,50000,PCA,25,euclidean,20,500,0.25216,0.28636101229696076
20,CIFAR10,prob_label_effnetb0,50000,PCA,20,euclidean,20,500,0.25328,0.2855769709886532
21,CIFAR10,prob_label_effnetb0,50000,PCA,15,euclidean,20,500,0.25232,0.2863179706319292
22,CIFAR10,prob_label_effnetb0,50000,PCA,10,euclidean,20,500,0.25174,0.28675243118865523
23,CIFAR10,prob_label_effnetb0,50000,PCA,7,euclidean,20,500,0.25324,0.2863783214592724
