,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
0,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10,0.29132,0.32255161396950627
1,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10,0.46278,0.2617456621607599
2,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10,0.3924,0.3318074196150738
3,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10,0.45594,0.2684636046637511
4,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10,0.44494,0.2767467519604242
5,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,25,0.78274,0.16955355166082917
6,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,25,0.58078,0.2254425628035511
7,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,25,0.58854,0.19268216174141636
8,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,25,0.57474,0.20272052965507417
9,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,25,0.77094,0.15707080405922663
10,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,50,0.74988,0.15687386144301033
11,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,50,0.86016,0.16587468086129717
12,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,50,0.83018,0.14687206082499563
13,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,50,0.80328,0.14617928940017957
14,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,50,0.69154,0.20731067429923375
15,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100,0.87916,0.13784343010252115
16,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100,0.87482,0.13092198456971016
17,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100,0.80658,0.144163739578326
18,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100,0.85342,0.13645848497571622
19,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100,0.78452,0.14663779949321468
20,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,250,0.84344,0.13611366180543344
21,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,250,0.84752,0.1388840580418938
22,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,250,0.8433,0.14202083365900584
23,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,250,0.86976,0.13656001367400025
24,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,250,0.79786,0.14664269946054068
25,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,500,0.83516,0.13963975361547026
26,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,500,0.85772,0.13200891913305673
27,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,500,0.86486,0.1321962597745296
28,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,500,0.85078,0.13731817389422982
29,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,500,0.83504,0.13838961142971098
30,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,1000,0.85128,0.132234854916951
31,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,1000,0.86618,0.13084170748237178
32,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,1000,0.85894,0.1363880650073404
33,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,1000,0.86478,0.13009868500529048
34,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,1000,0.8598,0.13227200271298536
35,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,5000,0.87052,0.12757297614822122
36,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,5000,0.87726,0.12466701877852167
37,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,5000,0.86762,0.1258207708453482
38,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,5000,0.87054,0.12768453967033083
39,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,5000,0.86516,0.12829498737218786
40,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,10000,0.8819,0.12128948863370378
