,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
0,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10,0.3767,0.2760702774768612,,0.12332117825016412,0.6064215249833076
1,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10,0.1865,0.3063427143320763,,0.1432074819146585,0.7039548063552218
2,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10,0.4735,0.24124151424138102,,0.11264911518348342,0.5504503091224278
3,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10,0.3456,0.2742561987681228,,0.11358710979222278,0.5625310866663257
4,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10,0.2898,0.2761982595491352,,0.12380790214501285,0.6073140008839547
5,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,25,0.5744,0.19155678598869486,,0.06950265694678251,0.34111340325975925
6,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,25,0.7332,0.17228010112154726,,0.05531023695905128,0.2726612775984782
7,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,25,0.8015,0.18681129575749084,,0.05657655925679095,0.2810577313430564
8,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,25,0.4633,0.2180771888523095,,0.08630576023291918,0.42842905492714517
9,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,25,0.7047,0.20081470794341136,,0.06561974391412272,0.3251323708277093
10,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,50,0.7411,0.15207368651248207,,0.04571690907749923,0.2252244293417848
11,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,50,0.8257,0.15545792854666796,,0.04253399507608084,0.2103192043172589
12,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,50,0.8015,0.1530107487943725,,0.04457549787103059,0.21931930814514716
13,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,50,0.7672,0.16469887426211216,,0.05104752268688687,0.24963366255355476
14,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,50,0.8785,0.15294642721191137,,0.04236682516854566,0.2101747339714208
15,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100,0.8603,0.14833424967299902,,0.04141050364925343,0.20424808593609378
16,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100,0.8647,0.1380699412835008,,0.03331770716410537,0.16263222487345505
17,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100,0.8233,0.1486383453739456,,0.04030049585597918,0.1968894727666879
18,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100,0.7922,0.15744252264689135,,0.046732818037391585,0.2297565069993274
19,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100,0.8626,0.13996210854709107,,0.034809441358567,0.17043473234572237
20,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,250,0.8435,0.14172812144882643,,0.03630447581742906,0.17775192146934307
21,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,250,0.8397,0.13965055854238279,,0.03611004846956254,0.17713344586119045
22,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,250,0.8319,0.14196185146348445,,0.036875323020338704,0.18159137032156286
23,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,250,0.8418,0.1413154777324129,,0.03665629144021753,0.17944050943481069
24,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,250,0.8351,0.1355248290599929,,0.03294646010903256,0.16259736528883217
25,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,500,0.8539,0.13477491488199006,,0.03347358272522241,0.16438878410693364
26,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,500,0.846,0.13958931455245313,,0.03599041121927629,0.1767000906999606
27,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,500,0.8432,0.135107741282237,,0.03394217078857933,0.16671124770731932
28,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,500,0.832,0.13327243469957412,,0.033157610130213,0.16304038063649567
29,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,500,0.8418,0.13383829361790278,,0.033762008272757445,0.16576170206644786
30,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,1000,0.8617,0.1295485480074186,,0.031645844516682876,0.1552632668797881
