,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
0,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2654799180384451,0.5387,1.8693683782541743,0.1486126906639494,0.7340266407263635,1.2130160331726074,configs/FGMRES.json
1,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2555795956431107,0.5696,1.7302355832359044,0.1439339650410197,0.7100967736877044,0.42159223556518555,configs/FGMRES.json
2,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.26752364492111247,0.4171,1.9023452777412684,0.15258371970655843,0.7530657112957924,0.41450023651123047,configs/FGMRES.json
3,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2639961721946994,0.4137,1.8495617977906276,0.1500101130488061,0.7408267036623638,0.41611170768737793,configs/FGMRES.json
4,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.26218035182463945,0.619,1.8110803528070654,0.14666322549962732,0.7237688538140395,0.4146699905395508,configs/FGMRES.json
5,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.1625542001089056,0.8599,0.8062879190957151,0.05726997825756734,0.27840166839910613,0.6391496658325195,configs/FGMRES.json
6,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.16810237388176283,0.83,0.8401651081280712,0.0630280182466788,0.30706033009906897,0.6244316101074219,configs/FGMRES.json
7,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.164475015174499,0.8515,0.8242891810032948,0.05629985875122354,0.2739739634719524,0.6336526870727539,configs/FGMRES.json
8,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.1641684466595592,0.8502,0.8068680764585455,0.0585374065664236,0.28527613531610707,0.626490592956543,configs/FGMRES.json
9,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.17432201300556815,0.8159,0.9225572942363326,0.0619321412277696,0.3019678226704778,0.6297500133514404,configs/FGMRES.json
10,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,1000,20,0.12062793401762995,0.8827,0.5213653296480117,0.03137704333446517,0.15225075479917813,2.7185933589935303,configs/FGMRES.json
11,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,1000,20,0.1226209418412855,0.8803,0.5453797099463331,0.031926529328085713,0.15489412950630518,2.7354187965393066,configs/FGMRES.json
12,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,1000,20,0.12193883534837446,0.8838,0.5372112272157458,0.03135116446414812,0.15195977739585056,2.740656614303589,configs/FGMRES.json
13,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,1000,20,0.12111485853470245,0.8834,0.5237305576326248,0.030870634180982005,0.14982696779545562,2.7338407039642334,configs/FGMRES.json
14,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,1000,20,0.1201113197878981,0.8852,0.5342799097234546,0.03169612796694447,0.15300489381841242,2.7075884342193604,configs/FGMRES.json
15,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,10,20,0.21497064561286555,0.5158,1.4626193269161871,0.09971180379453685,0.490611583015005,0.433760404586792,configs/FGMRES.json
16,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,10,20,0.18322147049999252,0.6992,1.1527246777996412,0.07114959313694533,0.34825844659542676,0.43023085594177246,configs/FGMRES.json
17,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,10,20,0.23921153602075435,0.4573,1.7117330115237102,0.11297060668023713,0.5569738380244408,0.4309518337249756,configs/FGMRES.json
18,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,10,20,0.22005592411449157,0.5463,1.5859597552554126,0.10733604857069248,0.5264008825562057,0.4289059638977051,configs/FGMRES.json
19,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,10,20,0.20059905727922164,0.6184,1.2192798113567018,0.09008262717852009,0.4420303251749163,0.4316885471343994,configs/FGMRES.json
20,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,100,20,0.14721400584629396,0.8259,0.7101246920443158,0.04310911506707895,0.20857805499004753,0.7034149169921875,configs/FGMRES.json
21,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,100,20,0.14700021968160829,0.8291,0.6678722181051489,0.04010081765248015,0.19453144156042243,0.723822832107544,configs/FGMRES.json
22,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,100,20,0.15022978938312123,0.8354,0.7819635081568316,0.04069626404191816,0.1985173716460696,0.7264184951782227,configs/FGMRES.json
23,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,100,20,0.1300126217184501,0.8646,0.5834730122446519,0.03550038618467206,0.17194933291681533,0.6918330192565918,configs/FGMRES.json
24,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,100,20,0.13711322237251994,0.8349,0.610209997047079,0.04105524809756324,0.19959232293579743,0.6840646266937256,configs/FGMRES.json
25,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,1000,20,0.10921230868911402,0.8964,0.40570621344978064,0.03188042613731994,0.15307863106881348,3.3070595264434814,configs/FGMRES.json
26,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,1000,20,0.11049215990658552,0.8984,0.4282132844594061,0.03077980323736006,0.14765093214894895,3.300128221511841,configs/FGMRES.json
27,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,1000,20,0.11010126742312194,0.8949,0.4201981594114064,0.03195225044274308,0.15395490715928062,3.3288683891296387,configs/FGMRES.json
28,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,1000,20,0.11045469901282393,0.8975,0.4216045719746447,0.03225258716627564,0.15548162839319798,3.356049060821533,configs/FGMRES.json
29,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.9,1000,20,0.10904378529844401,0.9027,0.42182598418796186,0.032375522139489646,0.1553511984716265,3.3192832469940186,configs/FGMRES.json
30,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,10,20,0.18858995634685605,0.715,1.4884965740658374,0.06403514450651401,0.3132893780816429,0.4256472587585449,configs/FGMRES.json
31,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,10,20,0.2578515219617646,0.44,2.5104423148639867,0.11466840180716223,0.5651079836789038,0.434140682220459,configs/FGMRES.json
32,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,10,20,0.21003213393961,0.6201,1.7656193147710808,0.07733605514074908,0.3801059670199158,0.435136079788208,configs/FGMRES.json
33,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,10,20,0.2185828269334557,0.61,1.745350684043343,0.07919287816564333,0.3890946212843876,0.46445560455322266,configs/FGMRES.json
34,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,10,20,0.21501964831329942,0.6202,2.4035206099029254,0.07718889966269057,0.3714474740557128,0.4345667362213135,configs/FGMRES.json
35,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.11773491849692166,0.887,0.4988621338774864,0.037604067095111667,0.18164729100116525,0.7631151676177979,configs/FGMRES.json
36,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.1281670350545614,0.8776,0.5451903556058145,0.044847933925277,0.21721528685217992,0.7311527729034424,configs/FGMRES.json
37,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.12956874153633213,0.8409,0.6213710083570397,0.04111335851876311,0.19686439108949863,0.7680761814117432,configs/FGMRES.json
38,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.12610785269241315,0.8752,0.6533597005994387,0.04049726983073833,0.1929611103812547,0.7316434383392334,configs/FGMRES.json
39,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.12655534188274134,0.8769,0.579017745467366,0.04386417583455733,0.21175819731411874,0.78257155418396,configs/FGMRES.json
40,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,1000,20,0.11365040969935525,0.8886,0.40485962625697075,0.03776240824462299,0.18168879698659235,3.7514617443084717,configs/FGMRES.json
41,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,1000,20,0.11212099517891316,0.8861,0.3777297233996841,0.0380447394176202,0.18336745120551876,3.7603695392608643,configs/FGMRES.json
42,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,1000,20,0.11276607304720769,0.888,0.38124542089841656,0.03929190392804516,0.18908811779900755,3.7340829372406006,configs/FGMRES.json
43,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,1000,20,0.11277087272320445,0.8885,0.3942368554625745,0.03919892031921692,0.18913838083657186,3.6821234226226807,configs/FGMRES.json
44,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,1000,20,0.1135190548099606,0.8919,0.38398885541934097,0.04036302154477189,0.19501238116832048,3.6790771484375,configs/FGMRES.json
45,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,10,20,0.2603103614056994,0.4797,1.7831720025759568,0.14756386760678564,0.7284899258769117,0.46372056007385254,configs/FGMRES.json
46,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,10,20,0.26173552742699635,0.5051,1.7870855953695326,0.1488530867956356,0.7346674264281072,0.4632530212402344,configs/FGMRES.json
47,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,10,20,0.2652994249027761,0.4009,1.8545846173037033,0.15027835395600397,0.7419860925250202,0.4623911380767822,configs/FGMRES.json
48,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,10,20,0.2688148622915296,0.4107,1.8789807592843517,0.15345480112145818,0.7574966937165588,0.5029449462890625,configs/FGMRES.json
49,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,10,20,0.26317729432378945,0.5443,1.8128114363058008,0.14969040100613565,0.7384795640121462,0.4653646945953369,configs/FGMRES.json
50,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,100,20,0.1697148626559764,0.8182,0.8238445851222957,0.05961560056847964,0.29002470956452797,0.7210965156555176,configs/FGMRES.json
51,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,100,20,0.18023450927868181,0.8052,0.9118313936999186,0.06683913945416771,0.32708727485013595,0.671959638595581,configs/FGMRES.json
52,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,100,20,0.17703316162412647,0.8013,0.9306753130391782,0.06378235248772385,0.31202320872924877,0.6733794212341309,configs/FGMRES.json
53,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,100,20,0.17693994013543457,0.7996,0.9158109216593658,0.062254425922323456,0.30388548856900033,0.6789267063140869,configs/FGMRES.json
54,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,100,20,0.16941959924384922,0.8146,0.7999683763543173,0.061180302597168244,0.29886099264102234,0.664907693862915,configs/FGMRES.json
55,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,1000,20,0.12900786309851778,0.8749,0.5591112716748474,0.03302062047644122,0.16100831742631522,2.7912769317626953,configs/FGMRES.json
56,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,1000,20,0.13224415482986907,0.865,0.5716153649578949,0.03650314885115268,0.17706522219566537,2.7469677925109863,configs/FGMRES.json
57,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,1000,20,0.13143645176204785,0.8666,0.5584663127268971,0.035533683442141174,0.17286511235574098,2.75227952003479,configs/FGMRES.json
58,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,1000,20,0.1313007508336937,0.8683,0.5601834617752954,0.03440621599072389,0.1670725618304454,2.8131022453308105,configs/FGMRES.json
59,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.5,1000,20,0.13012303831523608,0.8696,0.5736661255879986,0.033686920465889544,0.16374109735852527,2.8165788650512695,configs/FGMRES.json
60,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,10,20,0.25580846599657847,0.4213,1.906995230049449,0.12106229701472884,0.5977638702407411,0.4678480625152588,configs/FGMRES.json
61,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,10,20,0.21449363679556047,0.5656,1.3693774650127315,0.0992906809391316,0.4882428396198895,0.46617555618286133,configs/FGMRES.json
62,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,10,20,0.2230472741594732,0.5239,1.3789648603400078,0.10954637251192834,0.5397727666121465,0.4694645404815674,configs/FGMRES.json
63,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,10,20,0.21039233053279202,0.6677,1.3445170003761788,0.09446410094420707,0.4649082361048546,0.4665703773498535,configs/FGMRES.json
64,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,10,20,0.21852223077747523,0.5003,1.3264450433741912,0.1046242322792845,0.5152153682034754,0.47937536239624023,configs/FGMRES.json
65,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,100,20,0.15108388736510292,0.822,0.6703847861048207,0.044170153919251665,0.2149505909394677,0.7376725673675537,configs/FGMRES.json
66,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,100,20,0.16230996997634722,0.8153,0.7908280768262982,0.049042941415737465,0.24123345875978203,0.734675407409668,configs/FGMRES.json
67,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,100,20,0.1433586415133858,0.8512,0.6646451504614295,0.03749751925128864,0.18264848145366547,0.7392916679382324,configs/FGMRES.json
68,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,100,20,0.16165477020083116,0.8047,0.7259584395784882,0.04560136784523601,0.22173302809268153,0.7290928363800049,configs/FGMRES.json
69,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,100,20,0.14669242763653328,0.8322,0.6742837779253398,0.04296045233904539,0.20972857465322414,0.7403388023376465,configs/FGMRES.json
