,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
0,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.4975009249671126,0.5004,inf,0.49690983185268006,0.49690983185267995,0.14124202728271484,configs/FGMRES.json
1,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.4975017574279709,0.5004,inf,0.496911488454256,0.4969114884542555,0.10303425788879395,configs/FGMRES.json
2,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.4975012108102405,0.5003,inf,0.49691040068172826,0.4969104006817283,0.10494160652160645,configs/FGMRES.json
3,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.4975089681495377,0.5005,inf,0.4969258379448525,0.49692583794485207,0.10355424880981445,configs/FGMRES.json
4,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.49750778028350534,0.5003,inf,0.4969234740516578,0.4969234740516574,0.10333776473999023,configs/FGMRES.json
5,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.4975028376008218,0.5002,inf,0.4969136380081537,0.49691363800815397,0.1028292179107666,configs/FGMRES.json
6,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.49750203455707853,0.5005,inf,0.4969120399432796,0.4969120399432801,0.10396456718444824,configs/FGMRES.json
7,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.49750117064428423,0.5003,inf,0.49691032075128316,0.49691032075128394,0.10248851776123047,configs/FGMRES.json
8,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.49750147124692545,0.5002,inf,0.496910918952125,0.49691091895212486,0.10374903678894043,configs/FGMRES.json
9,TwoMoons,10000,NONE,2,prob_label,0.0,10,20,0.49750254316303477,0.5005,inf,0.49691305207378866,0.49691305207378944,0.10238862037658691,configs/FGMRES.json
10,TwoMoons,10000,NONE,2,prob_label,0.0,100,20,0.4952455253943556,0.505,inf,0.49243175201268,0.49243175201268014,0.10594701766967773,configs/FGMRES.json
