,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
0,CIFAR10-H,10000,CLIP,512,prob_label,0.99,100,20,0.22301642566726812,0.8004,1.1186357938659501,0.13021881420524783,0.6453664901857055,73.54685163497925,configs/FGMRES.json
1,CIFAR10-H,10000,UMAP,512,prob_label,0.99,100,20,0.28633143370518016,0.2027,2.1614383104532817,0.16255586864459676,0.8005660961969004,11.440483570098877,configs/FGMRES.json
2,CIFAR10-H,10000,UMAP,256,prob_label,0.99,100,20,0.2816926815937179,0.2285,2.0269892093331117,0.16384639248911587,0.8072278094730029,5.674827814102173,configs/FGMRES.json
3,CIFAR10-H,10000,UMAP,100,prob_label,0.99,100,20,0.2819727521621236,0.2225,2.041107459122608,0.16163654310164957,0.796496774118965,2.7590534687042236,configs/FGMRES.json
4,CIFAR10-H,10000,UMAP,50,prob_label,0.99,100,20,0.28245227451551413,0.2158,2.051986062273773,0.16207441458592725,0.797647273039696,1.7059624195098877,configs/FGMRES.json
5,CIFAR10-H,10000,UMAP,40,prob_label,0.99,100,20,0.2863413482397207,0.1682,2.1455165476578877,0.16621704755954989,0.8181968856554941,1.519469976425171,configs/FGMRES.json
6,CIFAR10-H,10000,UMAP,30,prob_label,0.99,100,20,0.282100329711959,0.2293,2.0615483535951107,0.16221090938319205,0.7996026497170007,1.4199509620666504,configs/FGMRES.json
7,CIFAR10-H,10000,UMAP,20,prob_label,0.99,100,20,0.282731987736566,0.2134,2.0384737037540095,0.16354019927526403,0.8065956709628799,1.1840858459472656,configs/FGMRES.json
8,CIFAR10-H,10000,UMAP,15,prob_label,0.99,100,20,0.2813020684873055,0.2213,2.032125998194043,0.1621916179711594,0.7997974758613106,1.0621771812438965,configs/FGMRES.json
9,CIFAR10-H,10000,UMAP,10,prob_label,0.99,100,20,0.2802142468938853,0.2225,1.9860676347926167,0.16124316926608767,0.7954340351850415,0.9454870223999023,configs/FGMRES.json
10,CIFAR10-H,10000,UMAP,7,prob_label,0.99,100,20,0.2827999349339131,0.2134,2.0504354449994278,0.16152680786940937,0.7969392015520412,0.9358248710632324,configs/FGMRES.json
11,CIFAR10-H,10000,UMAP,5,prob_label,0.99,100,20,0.2815043619120928,0.2148,2.015813424286737,0.16184688376130874,0.7971268887307621,0.8763637542724609,configs/FGMRES.json
12,CIFAR10-H,10000,UMAP,3,prob_label,0.99,100,20,0.28393657087945506,0.2085,2.069825649609018,0.16123397951712834,0.7948464341313634,0.7927947044372559,configs/FGMRES.json
13,CIFAR10-H,10000,UMAP,2,prob_label,0.99,100,20,0.29525393933342314,0.1782,2.4808849295218636,0.16295489805549773,0.7984648012228467,0.5599522590637207,configs/FGMRES.json
14,CIFAR10-H,10000,PCA,512,prob_label,0.99,100,20,0.286178450661368,0.1735,2.153911547247656,0.17028439435293846,0.8400675163230631,69.83377361297607,configs/FGMRES.json
15,CIFAR10-H,10000,PCA,256,prob_label,0.99,100,20,0.2838291728553066,0.1885,2.080014855120726,0.1701627104510144,0.8398135247531704,33.751731157302856,configs/FGMRES.json
