,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
0,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,2,0.29432445939989316,0.10016,0.709465742111206,configs/FGMRES.json
1,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,2,0.294320722844883,0.10016,0.6150996685028076,configs/FGMRES.json
2,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,2,0.2943225497589933,0.10014,0.6199784278869629,configs/FGMRES.json
3,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,2,0.2943221110802936,0.10016,0.6189286708831787,configs/FGMRES.json
4,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,2,0.2943257778563349,0.10018,0.6086351871490479,configs/FGMRES.json
5,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,2,0.2942759459570668,0.10046,0.6147840023040771,configs/FGMRES.json
6,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,2,0.29428414217317606,0.1004,0.6122176647186279,configs/FGMRES.json
7,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,2,0.2942782430312832,0.1004,0.620201826095581,configs/FGMRES.json
8,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,2,0.2942778293536199,0.10042,0.6066029071807861,configs/FGMRES.json
9,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,2,0.29427551304317257,0.10044,0.6074435710906982,configs/FGMRES.json
10,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,2,0.29420837301137037,0.10092,0.6137661933898926,configs/FGMRES.json
11,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,2,0.2941990523576098,0.1009,0.61417555809021,configs/FGMRES.json
12,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,2,0.29420757741326015,0.10088,0.612584114074707,configs/FGMRES.json
13,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,2,0.2942062104285819,0.10082,0.6123101711273193,configs/FGMRES.json
14,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,2,0.29421835883417324,0.10088,0.6209368705749512,configs/FGMRES.json
15,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,2,0.29406444370632434,0.10176,0.616549015045166,configs/FGMRES.json
16,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,2,0.2940639687388522,0.10182,0.61842942237854,configs/FGMRES.json
17,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,2,0.2940674955913144,0.10184,0.6156208515167236,configs/FGMRES.json
18,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,2,0.29405509806976377,0.10174,0.6180922985076904,configs/FGMRES.json
19,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,2,0.2940629007134428,0.10174,0.6189391613006592,configs/FGMRES.json
20,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,2,0.2936295597017661,0.10434,0.6110355854034424,configs/FGMRES.json
21,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,2,0.29365109721659693,0.10434,0.6295228004455566,configs/FGMRES.json
22,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,2,0.2936611229386642,0.10422,0.6205234527587891,configs/FGMRES.json
23,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,2,0.29364137210769026,0.10448,0.6255838871002197,configs/FGMRES.json
24,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,2,0.2936325326302428,0.10436,0.6231613159179688,configs/FGMRES.json
25,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,2,0.29293187814566707,0.10886,0.6272006034851074,configs/FGMRES.json
26,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,2,0.2929456681168032,0.10868,0.6263871192932129,configs/FGMRES.json
27,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,2,0.2928960811649336,0.10874,0.6270508766174316,configs/FGMRES.json
28,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,2,0.2929330062634839,0.10866,0.6220974922180176,configs/FGMRES.json
29,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,2,0.2929714930582713,0.10864,0.6287522315979004,configs/FGMRES.json
30,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,2,0.29149888086004894,0.11752,0.6453509330749512,configs/FGMRES.json
31,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,2,0.2914879757942951,0.11724,0.6415612697601318,configs/FGMRES.json
32,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,2,0.2915533466903134,0.11718,0.6408090591430664,configs/FGMRES.json
