,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
0,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,2,0.28705392675528074,0.101,,0.1728325430753567,0.8536984149907887,0.13944506645202637,configs/FGMRES.json
1,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,2,0.2870535104313284,0.1011,,0.17283303861196336,0.8537031060265068,0.11569738388061523,configs/FGMRES.json
2,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,2,0.2870492124836899,0.1012,,0.17282905544353064,0.8536998447561865,0.12388777732849121,configs/FGMRES.json
3,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,2,0.2870262629923405,0.1011,,0.17281440231168294,0.8536046168327966,0.10796165466308594,configs/FGMRES.json
4,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,2,0.28707432577939435,0.1011,,0.1728483348699537,0.8537865653384366,0.10770392417907715,configs/FGMRES.json
5,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,2,0.2868274963796988,0.1026,,0.17257675955735177,0.8524571481591798,0.11261320114135742,configs/FGMRES.json
6,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,2,0.28689113506153,0.1023,,0.17261048753853087,0.852587042967036,0.10790872573852539,configs/FGMRES.json
7,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,2,0.2868316729184151,0.1026,,0.1725755849398962,0.8524246244116385,0.1087484359741211,configs/FGMRES.json
8,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,2,0.2868835042620571,0.1023,,0.1726114931971518,0.8526220712601408,0.10892915725708008,configs/FGMRES.json
9,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,2,0.28680900073221904,0.1022,,0.17256096418287542,0.8523529948162106,0.10789752006530762,configs/FGMRES.json
10,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,2,0.28650524798755633,0.1046,,0.17218057338172302,0.8505049275744418,0.11074471473693848,configs/FGMRES.json
11,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,2,0.286538850838048,0.1046,,0.17220142480356956,0.8505608755969055,0.10804867744445801,configs/FGMRES.json
12,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,2,0.28653843743470697,0.1048,,0.1721998139446371,0.8505532532288594,0.10826635360717773,configs/FGMRES.json
13,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,2,0.2865340638519003,0.1045,,0.17219988682952841,0.8505391495276033,0.11058521270751953,configs/FGMRES.json
14,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,2,0.28655280164767166,0.104,,0.1722234743188121,0.8507190378706199,0.10878562927246094,configs/FGMRES.json
15,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,2,0.28583489298034487,0.1094,,0.171377085327983,0.8464992276216049,0.11047244071960449,configs/FGMRES.json
16,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,2,0.2859764803579129,0.1078,,0.17148586812666286,0.8471538200473191,0.11047911643981934,configs/FGMRES.json
17,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,2,0.2858307815330646,0.1087,,0.17139715847324818,0.8465774278065331,0.11068439483642578,configs/FGMRES.json
18,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,2,0.285834290028858,0.109,,0.171371853627304,0.8464497246129187,0.10932350158691406,configs/FGMRES.json
19,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,2,0.28593036963900087,0.1091,,0.1714614612495042,0.8470368714135494,0.10996103286743164,configs/FGMRES.json
20,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,2,0.28387218579087664,0.1211,,0.1690460600460862,0.8350405910173917,0.11381888389587402,configs/FGMRES.json
21,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,2,0.28382727358788423,0.1215,,0.16900252490829207,0.8347569980932203,0.11240053176879883,configs/FGMRES.json
22,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,2,0.2841043283715654,0.1213,,0.1691733211956376,0.8357816087533707,0.11284899711608887,configs/FGMRES.json
23,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,2,0.28400943888758384,0.1214,,0.16911353050582575,0.8352928827938151,0.11282706260681152,configs/FGMRES.json
24,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,2,0.2839104551231634,0.1214,,0.1690585385987007,0.8349770106956647,0.11295151710510254,configs/FGMRES.json
25,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,2,0.2810617340980151,0.1398,,0.16548241517648296,0.8174353305500107,0.11745595932006836,configs/FGMRES.json
26,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,2,0.2808514103725662,0.142,,0.1653336275119162,0.8168283606089087,0.11807417869567871,configs/FGMRES.json
27,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,2,0.2807173204651863,0.1427,,0.1652466916442312,0.8162597385354786,0.1180880069732666,configs/FGMRES.json
28,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,2,0.2807976949564281,0.1406,,0.16538343480892265,0.8170085563170585,0.12073373794555664,configs/FGMRES.json
29,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,2,0.2805512227590392,0.1422,,0.16513961254315906,0.8156803553280217,0.1174321174621582,configs/FGMRES.json
30,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,2,0.2738773414999792,0.1829,,0.15753442385585245,0.7779974902859511,0.128342866897583,configs/FGMRES.json
31,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,2,0.27453610350624036,0.1827,,0.15798100304653095,0.7803781537231331,0.12900805473327637,configs/FGMRES.json
32,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,2,0.2744380805809502,0.1816,,0.15792786881594473,0.7803994266177411,0.12874865531921387,configs/FGMRES.json
33,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,2,0.27425006340566593,0.182,,0.15774436252324323,0.7790827988474208,0.128220796585083,configs/FGMRES.json
34,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,2,0.2744283319052117,0.183,,0.15790800477947484,0.7803496388417707,0.1282505989074707,configs/FGMRES.json
35,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,2,0.22818107387633485,0.4435,,0.10983388291152577,0.5427154330242181,0.21364140510559082,configs/FGMRES.json
36,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,2,0.2303083586254226,0.435,,0.11142753933511043,0.5511046481589374,0.2145240306854248,configs/FGMRES.json
37,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,2,0.22994902301733658,0.4356,,0.11101206007165942,0.5487192264392513,0.2134861946105957,configs/FGMRES.json
38,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,2,0.2295636092211751,0.4362,,0.11071608263866217,0.5470756810103896,0.2142190933227539,configs/FGMRES.json
39,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,2,0.2290255349161582,0.4424,,0.11042249819854326,0.5456325341444169,0.21377801895141602,configs/FGMRES.json
40,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,2,0.18365894599591476,0.6422,,0.07217072607454826,0.3568396177265785,0.32131266593933105,configs/FGMRES.json
41,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,2,0.18435056818084422,0.6438,,0.0722376203242625,0.3573535767399718,0.32243967056274414,configs/FGMRES.json
42,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,2,0.18458467659632857,0.6412,,0.07271238596107507,0.35959404322881766,0.3227107524871826,configs/FGMRES.json
43,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,2,0.1838772441982081,0.6433,,0.07238146652498764,0.3575498413202141,0.322559118270874,configs/FGMRES.json
44,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,2,0.18353327564543054,0.645,,0.07210360665749767,0.3562992387217598,0.321408748626709,configs/FGMRES.json
45,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,2,0.029705308161964213,0.9909,,0.007855879134116416,0.037728246947611614,2.3205134868621826,configs/FGMRES.json
46,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,2,0.029363650303037576,0.9906,,0.007856605839855558,0.03775493781438774,2.30037260055542,configs/FGMRES.json
47,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,2,0.028113079060626805,0.9919,,0.007667605507089651,0.03674032321648318,2.3354101181030273,configs/FGMRES.json
48,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,2,0.028899893983172283,0.9933,,0.007811485839419127,0.03742307281743952,2.326068878173828,configs/FGMRES.json
49,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,2,0.027863715969291526,0.9907,,0.007635587501186783,0.03658810591195491,2.318830728530884,configs/FGMRES.json
50,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,3,0.28705856102296334,0.1012,,0.1728342376058005,0.8537017933033849,0.10778212547302246,configs/FGMRES.json
51,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,3,0.28709545126417735,0.1009,,0.17286643130510898,0.8538704480744369,0.10707569122314453,configs/FGMRES.json
52,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,3,0.28708266055693826,0.1009,,0.17284680674143715,0.8537689246958547,0.107696533203125,configs/FGMRES.json
53,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,3,0.2870236510821941,0.1011,,0.17281158424628562,0.8535885265058095,0.10747957229614258,configs/FGMRES.json
54,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10,3,0.28703240590394874,0.1011,,0.17281998424628547,0.8536362912116919,0.10748529434204102,configs/FGMRES.json
55,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,3,0.2868252737926552,0.1025,,0.17256545738959544,0.8523578922223589,0.10784101486206055,configs/FGMRES.json
56,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,3,0.2868286040552193,0.1026,,0.1725684347542682,0.8523727790457224,0.10778069496154785,configs/FGMRES.json
57,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,3,0.28685803088112444,0.1025,,0.17260159487242277,0.8525795489298734,0.10852837562561035,configs/FGMRES.json
58,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,3,0.2868713713857853,0.1024,,0.1726057618576493,0.8525934752928715,0.10860967636108398,configs/FGMRES.json
59,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,25,3,0.2868386865031066,0.1024,,0.17257975552100085,0.8524293828793862,0.10804319381713867,configs/FGMRES.json
60,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,3,0.2865217186013682,0.1048,,0.1721867913288286,0.8505087315863903,0.10821938514709473,configs/FGMRES.json
61,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,3,0.28646926018373586,0.1047,,0.17215215316820628,0.8503199684004805,0.10830116271972656,configs/FGMRES.json
62,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,3,0.28648157683541287,0.1048,,0.17218075422781204,0.8504808289021297,0.10814809799194336,configs/FGMRES.json
63,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,3,0.28653230481728686,0.1045,,0.17221203166821536,0.8506975811116867,0.10765862464904785,configs/FGMRES.json
64,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,50,3,0.2865843237600093,0.1046,,0.17222865121304146,0.8507370704176237,0.10840058326721191,configs/FGMRES.json
65,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,3,0.2859289966006152,0.1078,,0.17146389194073355,0.846990332828583,0.11008977890014648,configs/FGMRES.json
66,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,3,0.2858540848047199,0.1081,,0.17139234802579612,0.8465693645802614,0.10898280143737793,configs/FGMRES.json
67,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,3,0.285790578104146,0.1093,,0.1713569384226395,0.8463706271920679,0.10905218124389648,configs/FGMRES.json
68,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,3,0.2858380576287328,0.1087,,0.1713877584473002,0.8465413130463246,0.10947871208190918,configs/FGMRES.json
69,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,3,0.2858936101439511,0.1085,,0.17141435133856792,0.8467506445417874,0.1092538833618164,configs/FGMRES.json
70,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,3,0.28388784905732206,0.122,,0.16904702216211467,0.8349726374830383,0.1117105484008789,configs/FGMRES.json
71,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,3,0.283935621146389,0.1212,,0.16911895914632205,0.8353336563576331,0.11342763900756836,configs/FGMRES.json
72,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,3,0.28372615908982873,0.1225,,0.16894403585572465,0.8344523564310955,0.11319231986999512,configs/FGMRES.json
73,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,3,0.28401063607179744,0.1216,,0.16918021260016045,0.8357970485528804,0.11279034614562988,configs/FGMRES.json
74,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,3,0.28372199708955576,0.1223,,0.16891321193772052,0.8343509981951253,0.11353468894958496,configs/FGMRES.json
75,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,3,0.28076245112066445,0.1412,,0.16531142244645353,0.8166477788075391,0.11876034736633301,configs/FGMRES.json
