,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
0,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,3,0.24902173632918978,0.77976,11.953729391098022,configs/FGMRES.json
1,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,3,0.24983755666230079,0.75808,5.227314472198486,configs/FGMRES.json
2,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,3,0.24898752258155094,0.78202,5.22344446182251,configs/FGMRES.json
3,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,3,0.2500835628486853,0.77932,5.226442337036133,configs/FGMRES.json
4,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,3,0.25160049305338517,0.74484,5.236452579498291,configs/FGMRES.json
5,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,4,0.22048292352595694,0.79974,5.496487855911255,configs/FGMRES.json
6,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,4,0.22253842749644806,0.80196,5.518733024597168,configs/FGMRES.json
7,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,4,0.21940204718371512,0.82868,5.479897499084473,configs/FGMRES.json
8,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,4,0.22491781512583003,0.79542,5.4060375690460205,configs/FGMRES.json
9,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,4,0.2165452973736063,0.83258,5.477983713150024,configs/FGMRES.json
10,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,6,0.19752818360706478,0.81012,5.944302558898926,configs/FGMRES.json
11,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,6,0.19338477782592683,0.82016,5.886526346206665,configs/FGMRES.json
12,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,6,0.18927732734157524,0.82666,5.920486688613892,configs/FGMRES.json
13,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,6,0.19604796021062149,0.80354,5.862720727920532,configs/FGMRES.json
14,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,6,0.19415343391077808,0.80774,5.96320366859436,configs/FGMRES.json
15,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,8,0.18088065723878238,0.81024,6.0683887004852295,configs/FGMRES.json
16,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,8,0.18195074922139537,0.81922,6.040796518325806,configs/FGMRES.json
17,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,8,0.18350336601644926,0.80602,6.078512907028198,configs/FGMRES.json
18,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,8,0.18418081466899994,0.80176,6.0906782150268555,configs/FGMRES.json
19,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,8,0.17791546545271114,0.81862,6.113995552062988,configs/FGMRES.json
20,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,11,0.16554979743506823,0.83812,6.353558301925659,configs/FGMRES.json
21,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,11,0.1668162980099336,0.82804,6.3429529666900635,configs/FGMRES.json
22,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,11,0.16902251167160234,0.81362,6.264392375946045,configs/FGMRES.json
23,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,11,0.17625656239249982,0.80624,6.295112371444702,configs/FGMRES.json
24,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,11,0.16727614901389365,0.8234,6.319045305252075,configs/FGMRES.json
25,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,16,0.16366313990151482,0.80814,6.670245885848999,configs/FGMRES.json
26,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,16,0.1616712416947222,0.8155,6.7018883228302,configs/FGMRES.json
27,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,16,0.1582697580071255,0.82192,6.609301567077637,configs/FGMRES.json
28,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,16,0.1634959037488054,0.80166,6.620173215866089,configs/FGMRES.json
29,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,16,0.16442491545544774,0.81354,6.617945671081543,configs/FGMRES.json
30,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,21,0.14704179007202672,0.8362,6.865867376327515,configs/FGMRES.json
31,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,21,0.15840364319546413,0.82102,6.832420349121094,configs/FGMRES.json
32,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,21,0.1567339588943036,0.82444,6.796929597854614,configs/FGMRES.json
33,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,21,0.16214582948484216,0.80776,6.8211517333984375,configs/FGMRES.json
34,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,21,0.15962685927242132,0.8096,6.80043888092041,configs/FGMRES.json
35,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.15177471158950975,0.83576,7.1617515087127686,configs/FGMRES.json
36,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.15037935007031838,0.82878,7.060567140579224,configs/FGMRES.json
37,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.156791506052169,0.82244,7.073933839797974,configs/FGMRES.json
38,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.14785776487167296,0.83182,7.090543985366821,configs/FGMRES.json
39,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.15109315827646672,0.83548,7.115623474121094,configs/FGMRES.json
40,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.15426122084794955,0.8149,7.34862494468689,configs/FGMRES.json
41,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.1561118972057351,0.81384,7.281190872192383,configs/FGMRES.json
